Date,Open,High,Low,Close,Adj Close,Volume
2018-09-28,87.820000,90.150002,87.739998,89.510002,88.734924,1598600
2018-10-01,90.599998,90.680000,85.029999,85.790001,85.047142,2831200
2018-10-02,85.709999,86.209999,82.589996,83.169998,82.449821,2325500
2018-10-03,84.139999,86.400002,83.110001,85.330002,84.591133,3210100
2018-10-04,84.419998,84.699997,80.870003,81.779999,81.071861,3300300
2018-10-05,81.900002,82.379997,77.190002,79.410004,78.722389,3480500
2018-10-08,78.820000,79.739998,77.040001,78.959999,78.276283,2772500
2018-10-09,78.699997,80.230003,77.680000,77.970001,77.294853,3062200
2018-10-10,77.500000,77.690002,70.959999,71.400002,70.781738,6040300
2018-10-11,70.220001,72.260002,67.059998,67.180000,66.598282,5760800
2018-10-12,69.779999,69.949997,64.930000,67.190002,66.608208,6106800
2018-10-15,66.870003,69.330002,65.750000,67.919998,67.331871,4634600
2018-10-16,69.370003,73.989998,67.680000,73.599998,72.962692,4070000
2018-10-17,73.080002,73.120003,69.870003,72.830002,72.199364,3412600
2018-10-18,71.989998,72.300003,67.820000,68.849998,68.253822,3709000
2018-10-19,69.339996,70.440002,65.650002,66.400002,65.825035,4404100
2018-10-22,67.199997,67.849998,65.349998,65.980003,65.408669,3171600
2018-10-23,63.369999,65.809998,60.709999,64.309998,63.753132,5628700
2018-10-24,63.939999,64.650002,56.860001,56.980000,56.486603,5675300
2018-10-25,58.029999,61.470001,57.540001,60.570000,60.045517,3634400
2018-10-26,58.759998,60.980000,55.279999,58.549999,58.043011,6666500
2018-10-29,60.610001,62.380001,55.759998,57.770000,57.269764,4659300
2018-10-30,57.869999,61.439999,57.529999,61.119999,60.590755,5054200
2018-10-31,63.110001,63.869999,61.669998,61.849998,61.314434,4669400
2018-11-01,62.619999,66.209999,62.570000,65.779999,65.210403,4031100
2018-11-02,66.540001,67.599998,64.459999,66.459999,65.884514,5119400
2018-11-05,66.540001,67.300003,64.339996,66.309998,65.735817,3210300
2018-11-06,66.029999,67.870003,65.820000,67.320000,66.737076,3053000
2018-11-07,68.199997,70.879997,67.480003,70.800003,70.186951,4704500
2018-11-08,69.879997,71.519997,69.419998,70.269997,69.661522,2348900
2018-11-09,68.970001,68.970001,64.870003,66.459999,65.884514,4430100
2018-11-12,66.309998,66.449997,62.169998,62.459999,61.919151,3744300
2018-11-13,63.110001,64.930000,61.480000,61.770000,61.235130,3181200
2018-11-14,63.389999,64.160004,59.230000,60.470001,59.946388,3530900
2018-11-15,59.290001,63.270000,58.849998,63.080002,62.533791,4533700
2018-11-16,61.770000,63.860001,61.090000,63.380001,62.831188,3864400
2018-11-19,63.110001,63.500000,58.980000,59.650002,59.133488,3935900
2018-11-20,57.639999,59.060001,55.650002,56.200001,55.713360,6404300
2018-11-21,56.990002,59.950001,56.700001,58.360001,57.854656,2651100
2018-11-23,57.020000,59.889999,56.939999,58.349998,57.844746,2580100
2018-11-26,59.950001,61.189999,59.230000,60.490002,59.966213,3870400
2018-11-27,59.779999,60.389999,58.650002,59.040001,58.528770,2949300
2018-11-28,59.660000,63.509998,57.950001,63.369999,62.821274,4905500
2018-11-29,62.580002,63.959999,61.119999,62.830002,62.285954,2819400
2018-11-30,62.299999,64.050003,61.880001,63.700001,63.148422,2724600
2018-12-03,65.959999,66.050003,63.029999,65.610001,65.041878,3978200
2018-12-04,65.150002,65.620003,56.730000,57.209999,56.714611,6963000
2018-12-06,54.830002,56.740002,52.410000,56.680000,56.189205,5464400
2018-12-07,56.639999,57.959999,52.209999,53.139999,52.679855,5302600
2018-12-10,53.240002,53.830002,50.220001,52.630001,52.174278,4357800
2018-12-11,54.810001,55.419998,51.279999,52.369999,51.916523,3926100
2018-12-12,53.990002,56.049999,53.869999,53.930000,53.463020,4002900
2018-12-13,54.389999,54.900002,51.400002,51.639999,51.192848,4339000
2018-12-14,50.470001,52.110001,48.720001,49.270000,48.843369,4231100
2018-12-17,48.759998,50.029999,45.099998,45.939999,45.542202,6091200
2018-12-18,47.189999,48.119999,45.240002,45.730000,45.334023,4619600
2018-12-19,45.799999,47.549999,42.169998,42.880001,42.508701,6102100
2018-12-20,42.540001,43.299999,39.290001,40.799999,40.446712,10421600
2018-12-21,41.290001,41.820000,37.220001,37.520000,37.195114,9133200
2018-12-24,37.020000,37.660000,35.369999,35.430000,35.123211,5297000
2018-12-26,35.720001,40.610001,35.330002,40.459999,40.109650,8450000
2018-12-27,38.740002,40.799999,36.580002,40.720001,40.503551,8320300
2018-12-28,40.779999,43.130001,39.939999,41.200001,40.980999,6757900
2018-12-31,41.959999,42.250000,40.160000,42.090000,41.866268,4967000
2019-01-02,40.480000,43.270000,39.840000,42.820000,42.592384,6497200
2019-01-03,42.029999,42.759998,39.939999,40.459999,40.244930,6656500
2019-01-04,42.020000,45.380001,41.799999,45.049999,44.810535,6383400
2019-01-07,45.090000,48.119999,44.570000,47.430000,47.177883,6054400
2019-01-08,48.610001,49.560001,47.139999,49.490002,49.226936,5286600
2019-01-09,50.049999,51.270000,49.410000,50.750000,50.480236,5635000
2019-01-10,49.860001,51.599998,49.099998,51.490002,51.216301,4778100
2019-01-11,50.840000,51.869999,50.480000,51.590000,51.315769,2923100
2019-01-14,50.660000,51.279999,49.840000,50.049999,49.783951,2903100
2019-01-15,50.439999,51.480000,49.860001,51.389999,51.116833,3483100
2019-01-16,51.509998,53.200001,51.509998,52.389999,52.111515,3214600
2019-01-17,51.849998,54.360001,51.799999,53.799999,53.514019,3079200
2019-01-18,54.610001,56.099998,54.000000,55.490002,55.195042,3968500
2019-01-22,54.419998,54.770000,51.709999,52.689999,52.409924,5192100
2019-01-23,53.180000,54.049999,51.099998,52.349998,52.071728,3885800
2019-01-24,52.189999,53.570000,52.049999,53.299999,53.016678,2317000
2019-01-25,54.509998,55.619999,54.299999,55.340000,55.045837,3022900
2019-01-28,53.759998,54.840000,53.110001,54.389999,54.100883,3403200
2019-01-29,54.560001,54.700001,53.660000,54.040001,53.752747,2243800
2019-01-30,54.849998,56.360001,53.430000,55.759998,55.463600,4110600
2019-01-31,55.560001,57.459999,55.470001,57.110001,56.806431,3566000
2019-02-01,57.490002,57.880001,56.619999,57.349998,57.045147,3053000
2019-02-04,57.540001,59.310001,56.950001,59.299999,58.984783,2244600
2019-02-05,59.419998,60.080002,58.520000,59.490002,59.173779,3176500
2019-02-06,59.430000,59.810001,58.330002,59.250000,58.935051,1919500
2019-02-07,58.119999,58.990002,56.290001,57.820000,57.512653,4282800
2019-02-08,56.980000,57.970001,56.410000,57.950001,57.641964,2458200
2019-02-11,58.490002,59.439999,57.709999,59.389999,59.074306,2702500
2019-02-12,60.380001,61.840000,60.320000,61.570000,61.242722,3080900
2019-02-13,62.139999,62.529999,61.270000,62.119999,61.789799,2882300
2019-02-14,61.080002,63.259998,60.889999,62.540001,62.207565,3812100
2019-02-15,63.709999,65.500000,63.130001,65.459999,65.112038,3544500
2019-02-19,64.669998,66.599998,64.639999,66.010002,65.659119,2992900
2019-02-20,66.059998,67.199997,65.900002,66.930000,66.574226,2711900
2019-02-21,66.639999,66.919998,65.239998,66.160004,65.808327,3822700
2019-02-22,66.800003,68.019997,66.550003,67.889999,67.529129,3076000
2019-02-25,69.070000,69.620003,67.800003,67.919998,67.558960,3702800
2019-02-26,67.699997,67.919998,66.269997,66.419998,66.066940,2992700
2019-02-27,65.760002,66.949997,65.290001,66.779999,66.425018,3005200
2019-02-28,66.529999,66.970001,65.550003,66.019997,65.669060,2204800
2019-03-01,67.540001,68.000000,66.029999,67.870003,67.509239,3076500
2019-03-04,68.279999,68.550003,64.480003,66.040001,65.688957,4649500
2019-03-05,66.160004,66.199997,64.959999,65.160004,64.813644,2870400
2019-03-06,65.059998,65.070000,61.099998,61.270000,60.944313,6012800
2019-03-07,61.230000,61.389999,59.270000,59.650002,59.332924,5988700
2019-03-08,58.590000,59.700001,58.349998,59.540001,59.223511,3850900
2019-03-11,60.080002,62.669998,59.849998,62.660000,62.326927,3881800
2019-03-12,62.830002,63.490002,62.080002,62.730000,62.396553,2971300
2019-03-13,63.450001,64.400002,63.220001,63.490002,63.152515,2558200
2019-03-14,63.400002,63.520000,62.540001,62.639999,62.307034,2222000
2019-03-15,62.900002,64.519997,62.660000,63.150002,62.814323,2679300
2019-03-18,63.549999,65.230003,62.849998,64.400002,64.057678,4415200
2019-03-19,65.300003,65.360001,62.939999,63.439999,63.102776,3765400
2019-03-20,63.410000,64.410004,60.770000,61.830002,61.501335,5133800
2019-03-21,61.169998,65.160004,61.169998,64.269997,63.928364,6461900
2019-03-22,62.830002,63.310001,57.139999,57.139999,56.836266,7994900
2019-03-25,57.049999,59.099998,55.779999,57.869999,57.562386,4555200
2019-03-26,59.290001,60.849998,58.520000,59.700001,59.382660,5255300
2019-03-27,59.560001,60.130001,56.939999,59.000000,58.686378,5269900
2019-03-28,59.599998,60.930000,58.630001,60.570000,60.248032,4791100
2019-03-29,61.860001,62.169998,59.950001,61.119999,60.795109,4986200
2019-04-01,62.560001,63.270000,61.860001,63.090000,62.754642,5230700
2019-04-02,63.270000,63.270000,61.580002,62.570000,62.237404,4044400
2019-04-03,64.269997,64.769997,63.070000,63.540001,63.202248,4530500
2019-04-04,63.730000,64.599998,63.189999,64.480003,64.137260,3728800
2019-04-05,64.940002,66.389999,64.779999,66.269997,65.917732,4189400
2019-04-08,65.629997,66.089996,64.639999,65.919998,65.569603,3633400
2019-04-09,65.129997,65.400002,63.169998,63.529999,63.192303,5339200
2019-04-10,63.840000,66.129997,63.680000,66.099998,65.748634,4044300
2019-04-11,66.339996,66.529999,65.459999,65.800003,65.450233,3182400
2019-04-12,67.029999,67.089996,65.800003,66.470001,66.116676,3259200
2019-04-15,66.820000,67.000000,65.010002,65.809998,65.460175,2698700
2019-04-16,66.529999,66.750000,65.639999,66.290001,65.937630,2809600
2019-04-17,66.989998,67.010002,63.349998,64.410004,64.067627,4390700
2019-04-18,64.500000,64.660004,62.669998,63.959999,63.620014,3785400
2019-04-22,63.459999,64.040001,62.500000,63.320000,62.983418,2134800
2019-04-23,63.549999,66.769997,63.509998,66.239998,65.887894,4606500
2019-04-24,66.309998,67.599998,65.940002,66.830002,66.474762,3434400
2019-04-25,65.860001,66.050003,63.540001,65.139999,64.793739,4135300
2019-04-26,65.379997,67.250000,64.680000,67.040001,66.683640,3212800
2019-04-29,67.430000,68.680000,67.260002,67.959999,67.598755,2706000
2019-04-30,68.089996,68.129997,65.330002,66.930000,66.574226,3742000
2019-05-01,67.489998,67.550003,64.989998,65.040001,64.694267,4290400
2019-05-02,64.820000,66.730003,63.680000,65.949997,65.599434,4502300
2019-05-03,66.820000,69.839996,66.760002,69.730003,69.359337,3709800
2019-05-06,66.589996,70.440002,66.410004,69.989998,69.617958,4247000
2019-05-07,68.110001,68.849998,64.139999,65.769997,65.420395,5693600
2019-05-08,65.449997,66.489998,64.660004,64.820000,64.475449,3502000
2019-05-09,63.240002,64.650002,61.060001,64.089996,63.749317,4877900
2019-05-10,63.330002,64.830002,60.980000,64.500000,64.157143,5128200
2019-05-13,60.990002,61.360001,57.849998,58.389999,58.079624,4651500
2019-05-14,58.830002,61.290001,58.470001,60.610001,60.287823,2556900
2019-05-15,59.220001,61.599998,58.810001,61.189999,60.864738,3603000
2019-05-16,61.700001,63.669998,61.630001,62.369999,62.038467,3355100
2019-05-17,60.860001,62.580002,59.459999,59.709999,59.392605,3828400
2019-05-20,58.560001,59.630001,57.980000,58.400002,58.089569,2963400
2019-05-21,59.410000,61.000000,59.360001,60.830002,60.506657,2277500
2019-05-22,60.040001,60.480000,58.630001,59.160000,58.845528,2853300
2019-05-23,57.500000,57.500000,54.619999,55.639999,55.344242,4580400
2019-05-24,56.630001,57.419998,55.990002,56.980000,56.677116,2860000
2019-05-28,57.369999,58.020000,55.759998,55.759998,55.463600,2424700
2019-05-29,54.849998,54.959999,53.230000,54.340000,54.051147,4091700
2019-05-30,54.750000,55.650002,52.860001,53.869999,53.583649,3887000
2019-05-31,51.900002,52.599998,50.959999,51.650002,51.375450,3578200
2019-06-03,51.810001,52.970001,51.000000,52.029999,51.753426,4847000
2019-06-04,53.700001,56.250000,53.419998,56.119999,55.821686,4068700
2019-06-05,56.759998,56.919998,54.380001,56.049999,55.752060,3587600
2019-06-06,56.080002,56.500000,54.040001,55.689999,55.393974,3559400
2019-06-07,56.299999,57.560001,55.910000,56.770000,56.468235,3906300
2019-06-10,57.540001,59.400002,57.529999,57.820000,57.512653,3297000
2019-06-11,59.150002,59.509998,56.490002,57.259998,56.955631,3655400
2019-06-12,57.139999,57.840000,56.529999,57.430000,57.124729,2618700
2019-06-13,58.410000,59.410000,57.939999,59.270000,58.954948,2925200
2019-06-14,59.070000,59.099998,57.720001,57.770000,57.462917,2348200
2019-06-17,58.459999,59.630001,58.250000,58.959999,58.646591,1850400
2019-06-18,60.099998,62.270000,59.849998,60.880001,60.556393,3582500
2019-06-19,61.139999,61.750000,60.290001,61.540001,61.212879,2888100
2019-06-20,63.330002,63.540001,61.439999,62.419998,62.088200,3633900
2019-06-21,62.220001,62.240002,60.400002,60.740002,60.417130,3140700
2019-06-24,61.250000,61.310001,58.500000,58.540001,58.228828,3257200
2019-06-25,58.650002,58.900002,57.150002,57.360001,57.218327,4256600
2019-06-26,57.919998,58.520000,56.869999,56.970001,56.829292,3103200
2019-06-27,57.380001,60.230000,57.380001,60.200001,60.051311,3813200
2019-06-28,60.450001,62.849998,60.439999,62.310001,62.156105,8938300
2019-07-01,64.690002,65.290001,61.910000,62.939999,62.784542,5434800
2019-07-02,62.900002,62.990002,60.759998,61.860001,61.707214,3428600
2019-07-03,62.349998,63.189999,61.849998,63.139999,62.984051,2022100
2019-07-05,62.130001,63.650002,61.380001,63.619999,63.462864,2338100
2019-07-08,63.020000,63.330002,61.410000,61.840000,61.687260,2518600
2019-07-09,60.970001,62.029999,60.910000,61.950001,61.796993,2612500
2019-07-10,63.000000,63.380001,61.340000,62.299999,62.146126,3402700
2019-07-11,62.619999,62.619999,60.570000,61.369999,61.218422,3275300
2019-07-12,61.610001,63.439999,61.320000,62.759998,62.604988,2936500
2019-07-15,63.320000,63.349998,61.279999,61.720001,61.567558,2776400
2019-07-16,61.599998,62.860001,61.040001,61.740002,61.587513,3110700
2019-07-17,61.720001,61.830002,59.910000,60.450001,60.300697,3416400
2019-07-18,60.299999,61.389999,59.900002,61.070000,60.919163,3886100
2019-07-19,61.320000,61.869999,60.009998,60.080002,59.931610,3660700
2019-07-22,60.450001,60.990002,59.490002,59.799999,59.652302,3587100
2019-07-23,60.540001,61.000000,59.630001,61.000000,60.849339,3515800
2019-07-24,60.470001,64.209999,60.299999,64.019997,63.861874,4626300
2019-07-25,63.939999,63.939999,61.349998,61.650002,61.497730,4788100
2019-07-26,61.900002,64.050003,61.830002,63.790001,63.632446,3682300
2019-07-29,63.790001,64.040001,61.889999,62.549999,62.395508,3442700
2019-07-30,61.279999,64.540001,60.810001,64.500000,64.340698,3674300
2019-07-31,64.470001,66.250000,61.770000,63.009998,62.854370,5678400
2019-08-01,63.360001,64.900002,59.439999,60.250000,60.101189,6983200
2019-08-02,59.099998,59.599998,56.700001,58.180000,58.036304,6170500
2019-08-05,55.029999,55.139999,50.950001,52.930000,52.799267,7083900
2019-08-06,53.919998,54.779999,52.290001,54.410000,54.275612,4252800
2019-08-07,52.820000,54.750000,51.480000,54.330002,54.195812,6436900
2019-08-08,55.240002,57.919998,55.049999,57.840000,57.697144,4060800
2019-08-09,57.299999,57.349998,54.950001,55.599998,55.462669,4570500
2019-08-12,54.709999,55.060001,53.080002,53.459999,53.327957,3727500
2019-08-13,53.070000,56.770000,52.389999,55.230000,55.093586,3904700
2019-08-14,52.599998,52.639999,50.169998,50.580002,50.455074,6298400
2019-08-15,51.150002,51.150002,49.220001,49.930000,49.806679,3787200
2019-08-16,50.619999,53.400002,50.619999,53.150002,53.018726,3720000
2019-08-19,54.939999,55.549999,54.529999,54.750000,54.614773,2679800
2019-08-20,54.500000,54.580002,53.490002,53.650002,53.517490,2660000
2019-08-21,55.220001,55.250000,54.340000,54.939999,54.804302,2495800
2019-08-22,55.279999,55.709999,53.610001,54.500000,54.365387,3123300
2019-08-23,53.700001,54.630001,49.029999,49.549999,49.427616,6558800
2019-08-26,50.959999,51.169998,49.799999,51.169998,51.043613,3024500
2019-08-27,52.139999,52.189999,48.709999,48.880001,48.759274,4292400
2019-08-28,48.570000,51.410000,48.250000,50.570000,50.445099,3178200
2019-08-29,52.189999,53.400002,52.000000,53.240002,53.108505,2981000
2019-08-30,54.000000,54.110001,52.060001,52.950001,52.819218,2964800
2019-09-03,51.349998,52.330002,49.880001,50.570000,50.445099,4707400
2019-09-04,51.990002,52.320000,51.110001,51.810001,51.682037,2672600
2019-09-05,53.860001,56.040001,53.369999,54.599998,54.465141,4366500
2019-09-06,54.730000,55.340000,53.830002,53.919998,53.786823,3750600
2019-09-09,54.630001,56.400002,54.080002,56.009998,55.871658,6282000
2019-09-10,55.799999,58.279999,54.910000,58.130001,57.986427,5186700
2019-09-11,58.959999,61.939999,57.849998,61.680000,61.527657,4897600
2019-09-12,61.980000,62.770000,60.060001,61.740002,61.587513,4245200
2019-09-13,62.680000,63.950001,61.889999,62.070000,61.916695,4488400
2019-09-16,61.700001,63.770000,61.340000,62.740002,62.585041,3234800
2019-09-17,62.169998,62.360001,61.029999,62.209999,62.056347,2895600
2019-09-18,62.220001,62.250000,59.389999,61.009998,60.859310,4192300
2019-09-19,61.400002,62.590000,59.930000,60.169998,60.021385,3310500
2019-09-20,60.099998,61.200001,58.680000,59.750000,59.602425,3422600
2019-09-23,59.139999,60.389999,58.799999,59.680000,59.532597,2092300
2019-09-24,60.130001,60.259998,56.279999,56.970001,56.829292,4246500
2019-09-25,56.799999,59.090000,56.230000,58.779999,58.634815,3275700
2019-09-26,58.639999,58.639999,56.360001,56.880001,56.739513,2979800
2019-09-27,57.290001,57.730000,54.709999,55.470001,55.332996,3592400
2019-09-30,55.630001,56.619999,55.029999,55.669998,55.532501,2343400
2019-10-01,56.419998,57.810001,52.009998,52.410000,52.280552,5479900
2019-10-02,51.520000,51.520000,49.689999,51.099998,50.973789,5424600
2019-10-03,50.599998,51.869999,48.740002,51.689999,51.562328,5475800
2019-10-04,51.939999,53.189999,50.990002,53.080002,52.948898,3515500
2019-10-07,52.689999,54.060001,52.000000,52.849998,52.719467,3012800
2019-10-08,51.299999,51.770000,49.860001,50.230000,50.105934,4075400
2019-10-09,51.320000,51.470001,50.389999,50.869999,50.744354,2368800
2019-10-10,51.119999,52.320000,50.869999,51.529999,51.402725,3044800
2019-10-11,53.610001,55.900002,53.560001,54.169998,54.036201,4922100
2019-10-14,53.740002,54.020000,52.889999,53.509998,53.377834,2247100
2019-10-15,54.040001,56.080002,53.610001,55.340000,55.203316,2463500
2019-10-16,55.080002,56.259998,55.040001,55.480000,55.342968,2088500
2019-10-17,56.310001,57.599998,56.009998,57.419998,57.278175,2848400
2019-10-18,56.970001,57.580002,55.330002,56.599998,56.460205,2527500
2019-10-21,58.320000,59.230000,58.040001,58.240002,58.096153,2401500
2019-10-22,58.430000,59.310001,57.830002,58.349998,58.205879,1928600
2019-10-23,58.500000,58.950001,57.610001,58.549999,58.405388,1581400
2019-10-24,59.209999,59.299999,57.480000,58.330002,58.185932,1969800
2019-10-25,58.000000,59.840000,57.970001,59.250000,59.103661,2126700
2019-10-28,60.000000,61.470001,59.930000,60.700001,60.550079,2597800
2019-10-29,60.360001,61.900002,60.180000,61.369999,61.218422,2151900
2019-10-30,61.310001,61.310001,59.490002,60.770000,60.619904,2471600
2019-10-31,60.419998,60.419998,58.270000,59.639999,59.492695,3317400
2019-11-01,60.709999,62.779999,60.349998,62.689999,62.535160,2948400
2019-11-04,64.230003,64.540001,63.130001,63.650002,63.492794,2412500
2019-11-05,64.300003,65.480003,63.740002,63.869999,63.712246,2290600
2019-11-06,63.720001,63.750000,62.330002,62.799999,62.644890,1754200
2019-11-07,64.589996,65.099998,62.750000,63.299999,63.143654,2514300
2019-11-08,62.820000,64.010002,62.450001,63.779999,63.622467,1666400
2019-11-11,62.560001,63.570000,62.349998,63.389999,63.233433,1636200
2019-11-12,63.639999,64.699997,63.070000,63.410000,63.253384,2242100
2019-11-13,62.099998,63.060001,61.500000,62.709999,62.555111,2457100
2019-11-14,62.340000,63.500000,62.220001,62.619999,62.465336,1663000
2019-11-15,63.840000,63.930000,62.849998,63.520000,63.363113,1650900
2019-11-18,63.240002,63.270000,62.349998,62.930000,62.774570,1888400
2019-11-19,63.750000,64.419998,62.770000,63.700001,63.542671,2157300
2019-11-20,63.040001,64.279999,61.500000,63.080002,62.924198,2693200
2019-11-21,63.320000,63.410000,61.459999,62.020000,61.866817,2135400
2019-11-22,62.740002,62.980000,61.599998,62.549999,62.395508,1779600
